ID,SCHL,SCHG,POVPIP,WKL,FOD1P
666,23,0,501,1,5505
667,23,0,501,1,4001
668,18,0,501,1,0
669,18,0,501,1,0
670,22,0,501,2,3600
671,22,0,501,1,1901
672,22,0,501,1,5506
673,11,11,501,0,0
674,19,0,501,1,0
675,21,0,501,1,6005
676,22,0,470,1,5506
677,24,0,501,1,5004
678,14,0,70,3,0
679,23,16,501,1,1904
680,21,16,501,1,6203
681,14,0,83,3,0
682,19,0,452,1,0
683,11,11,452,0,0
684,21,0,501,1,5506
685,22,0,501,1,3600
686,23,0,501,1,5506
687,24,0,501,1,5501
688,8,7,501,0,0
689,6,5,501,0,0
690,23,0,501,1,3301
691,22,0,501,1,2412
692,6,5,501,0,0
693,3,2,501,0,0
694,18,0,347,1,0
695,16,0,501,1,0
696,22,0,501,1,5200
697,21,0,501,1,1901
698,22,0,501,1,5200
699,19,0,501,1,0
700,19,0,501,1,0
701,16,0,501,3,0
702,14,0,404,1,0
703,17,0,404,3,0
704,23,0,501,1,5506
705,16,0,270,1,0
706,22,16,470,2,5301
707,11,0,470,1,0
708,16,14,93,1,0
709,16,0,501,2,0
710,9,0,501,1,0
711,19,0,501,1,0
712,22,0,92,1,5501
713,1,0,244,3,0
714,16,0,244,3,0
715,23,0,501,3,2304
716,16,0,366,3,0
717,16,0,366,1,0
718,16,0,366,1,0
719,22,0,501,1,5003
720,23,0,501,1,3600
721,23,0,501,2,6402
722,22,0,501,2,1401
723,22,0,379,3,6000
724,21,0,379,1,6402
725,21,0,501,1,6207
726,16,0,298,3,0
727,21,0,501,1,6207
728,21,0,470,1,1902
729,22,0,470,1,1902
730,22,0,501,3,6000
731,22,0,501,3,6402
732,22,16,501,1,5507
733,24,0,501,1,3600
734,16,0,230,1,0
735,18,0,6,3,0
736,20,15,332,1,0
737,19,0,357,3,0
738,16,0,357,1,0
739,20,0,357,1,0
740,1,0,357,0,0
741,19,0,146,1,0
742,9,8,146,0,0
743,19,0,92,1,0
744,22,0,501,1,6205
745,21,0,501,1,5505
746,22,0,501,1,6200
747,21,0,501,1,2601
748,22,0,501,3,4801
749,24,0,501,3,6006
750,22,0,501,1,5506
751,22,0,501,1,2309
752,18,0,501,3,0
753,21,0,501,1,5506
754,23,0,501,1,1301
755,1,1,501,0,0
756,23,0,501,1,1301
757,21,0,348,1,3301
758,21,0,390,1,3600
759,21,0,429,1,1902
760,21,0,390,1,3600
761,17,0,437,1,0
762,21,0,297,1,5200
763,19,15,247,1,0
764,22,0,501,1,2602
765,21,0,211,1,5506
766,21,0,501,1,5200
767,24,0,501,1,5502
768,21,0,501,1,6200
769,21,16,0,2,6006
770,21,0,224,1,6007
771,20,0,501,1,0
772,22,0,501,1,6109
773,9,9,501,0,0
774,21,16,386,1,6203
775,21,0,386,2,5506
776,21,0,501,3,5003
777,21,0,501,1,5200
778,21,0,501,1,5200
779,21,16,501,1,1901
780,21,0,461,1,2102
781,22,0,501,1,6402
782,21,0,501,1,6402
783,5,4,501,0,0
784,22,0,501,1,3600
785,24,0,501,1,6402
786,4,3,501,0,0
787,2,1,501,0,0
788,12,0,273,3,0
789,16,0,273,1,0
790,19,0,0,3,0
791,9,0,174,1,0
792,2,1,174,0,0
793,6,0,269,1,0
794,9,0,107,1,0
795,21,0,306,1,5501
796,0,0,306,0,0
797,21,0,445,1,4001
798,21,0,274,1,2102
799,16,0,233,1,0
800,23,0,501,1,5501
801,21,0,501,3,3301
802,11,11,501,0,0
803,9,9,501,0,0
804,21,0,501,1,2102
805,22,0,501,1,6107
806,18,0,501,1,0
807,15,0,76,2,0
808,19,15,169,1,0
809,21,0,169,1,2399
810,16,0,169,1,0
811,17,0,38,1,0
812,22,16,240,1,3611
813,20,15,13,1,0
814,19,0,77,1,0
815,22,0,501,1,2102
816,1,1,501,0,0
817,0,0,501,0,0
818,21,0,0,3,6000
819,16,0,108,3,0
820,23,0,501,1,5507
821,22,0,269,1,5200
822,21,0,124,3,2300
823,24,0,124,3,2300
824,22,0,501,1,5301
825,21,0,501,1,2602
826,24,0,501,1,5002
827,5,5,501,0,0
828,3,3,501,0,0
829,16,0,69,3,0
830,22,0,230,1,1401
831,22,0,501,1,5501
832,2,2,501,0,0
833,21,0,77,1,5506
834,1,0,170,1,0
835,21,0,501,1,5501
836,22,0,347,1,2300
837,16,0,501,3,0
838,21,0,107,1,5506
839,21,0,501,1,5506
840,16,0,0,2,0
841,23,0,501,1,2408
842,22,0,501,1,3501
843,6,6,501,0,0
844,16,0,304,1,0
845,19,0,304,1,0
846,21,16,246,1,5506
847,0,0,246,0,0
848,21,16,501,1,3600
849,22,0,228,1,3301
850,22,0,501,1,5505
851,20,15,137,1,0
852,20,15,137,2,0
853,1,0,0,3,0
854,16,0,0,3,0
855,16,15,0,2,0
856,24,0,501,1,6002
857,23,0,484,1,5503
858,24,0,501,1,1501
859,21,0,501,1,3700
860,11,10,501,0,0
861,24,0,501,1,6402
862,24,0,501,1,4801
863,21,0,501,3,3605
864,22,0,449,1,5505
865,16,0,235,3,0
866,17,0,235,1,0
867,17,0,235,3,0
868,21,0,443,1,5506
869,22,0,501,1,1401
870,22,0,501,1,2403
