SCHL,SCHG,POVPIP,WKL,FOD1P
22,0,501,2,1401
22,0,379,3,6000
21,0,379,1,6402
21,0,501,1,6207
16,0,298,3,0
21,0,501,1,6207
21,0,470,1,1902
22,0,470,1,1902
22,0,501,3,6000
22,0,501,3,6402
22,16,501,1,5507
24,0,501,1,3600
16,0,230,1,0
18,0,6,3,0
20,15,332,1,0
19,0,357,3,0
16,0,357,1,0
20,0,357,1,0
1,0,357,0,0
19,0,146,1,0
9,8,146,0,0
19,0,92,1,0
22,0,501,1,6205
21,0,501,1,5505
22,0,501,1,6200
21,0,501,1,2601
22,0,501,3,4801
24,0,501,3,6006
22,0,501,1,5506
22,0,501,1,2309
18,0,501,3,0
21,0,501,1,5506
23,0,501,1,1301
1,1,501,0,0
23,0,501,1,1301
21,0,348,1,3301
21,0,390,1,3600
21,0,429,1,1902
21,0,390,1,3600
17,0,437,1,0
21,0,297,1,5200
19,15,247,1,0
22,0,501,1,2602
21,0,211,1,5506
21,0,501,1,5200
24,0,501,1,5502
21,0,501,1,6200
21,16,0,2,6006
21,0,224,1,6007
20,0,501,1,0
22,0,501,1,6109
9,9,501,0,0
21,16,386,1,6203
21,0,386,2,5506
21,0,501,3,5003
21,0,501,1,5200
21,0,501,1,5200
21,16,501,1,1901
21,0,461,1,2102
22,0,501,1,6402
21,0,501,1,6402
5,4,501,0,0
22,0,501,1,3600
24,0,501,1,6402
4,3,501,0,0
2,1,501,0,0
12,0,273,3,0
16,0,273,1,0
19,0,0,3,0
9,0,174,1,0
2,1,174,0,0
6,0,269,1,0
9,0,107,1,0
21,0,306,1,5501
0,0,306,0,0
21,0,445,1,4001
21,0,274,1,2102
16,0,233,1,0
23,0,501,1,5501
21,0,501,3,3301
11,11,501,0,0
9,9,501,0,0
21,0,501,1,2102
22,0,501,1,6107
18,0,501,1,0
15,0,76,2,0
19,15,169,1,0
21,0,169,1,2399
16,0,169,1,0
17,0,38,1,0
22,16,240,1,3611
20,15,13,1,0
19,0,77,1,0
22,0,501,1,2102
1,1,501,0,0
0,0,501,0,0
21,0,0,3,6000
16,0,108,3,0
23,0,501,1,5507
22,0,269,1,5200
21,0,124,3,2300
24,0,124,3,2300
22,0,501,1,5301
21,0,501,1,2602
24,0,501,1,5002
5,5,501,0,0
3,3,501,0,0
16,0,69,3,0
22,0,230,1,1401
22,0,501,1,5501
2,2,501,0,0
21,0,77,1,5506
1,0,170,1,0
21,0,501,1,5501
22,0,347,1,2300
16,0,501,3,0
21,0,107,1,5506
21,0,501,1,5506
16,0,0,2,0
23,0,501,1,2408
22,0,501,1,3501
6,6,501,0,0
16,0,304,1,0
19,0,304,1,0
21,16,246,1,5506
0,0,246,0,0
21,16,501,1,3600
22,0,228,1,3301
