ID,SCHL,SCHG,POVPIP,WKL,FOD1P
746,18,15,0,1,0
747,12,0,1,1,0
748,19,15,0,1,0
749,16,0,0,3,0
750,18,15,0,1,0
751,16,15,0,1,0
752,17,0,0,1,0
753,19,15,0,1,0
754,18,15,0,1,0
755,19,15,0,1,0
756,19,0,55,3,0
757,16,15,0,1,0
758,18,15,0,3,0
759,15,0,0,3,0
760,16,0,57,1,0
761,19,15,0,1,0
762,16,15,0,3,0
763,19,15,0,1,0
764,19,0,0,2,0
765,19,15,0,1,0
766,16,0,0,3,0
767,18,15,0,1,0
768,12,0,1,1,0
769,19,15,0,1,0
770,16,0,210,1,0
771,16,0,210,1,0
772,4,0,210,0,0
773,1,0,210,0,0
774,20,0,61,1,0
775,2,2,61,0,0
776,1,0,61,0,0
777,17,0,66,1,0
778,16,0,120,3,0
779,13,0,204,1,0
780,16,0,204,1,0
781,21,0,501,1,2504
782,21,0,501,1,2414
783,21,0,274,1,6200
784,19,0,246,1,0
785,20,0,501,1,0
786,19,0,501,1,0
787,23,0,501,1,3600
788,21,0,501,1,6107
789,21,0,501,1,5504
790,17,0,501,1,0
791,19,0,501,1,0
792,19,0,501,1,0
793,16,15,30,1,0
794,16,15,0,3,0
795,16,15,30,1,0
796,18,0,501,3,0
797,22,0,501,3,5404
798,16,0,91,1,0
799,0,0,91,0,0
800,0,0,91,0,0
801,21,0,0,2,5500
802,22,0,501,2,2304
803,22,0,501,1,6402
804,17,0,373,3,0
805,18,0,373,3,0
806,11,10,373,0,0
807,15,0,390,3,0
808,18,0,278,3,0
809,21,0,501,1,6203
810,21,0,501,3,6203
811,11,11,501,0,0
812,21,0,501,1,6203
813,21,0,501,1,6203
814,18,0,269,1,0
815,16,0,304,1,0
816,16,0,304,1,0
817,14,14,304,1,0
818,9,9,304,0,0
819,18,0,208,1,0
820,20,0,102,1,0
821,21,0,364,2,2300
822,21,0,364,1,5098
823,16,0,284,3,0
824,16,0,284,3,0
825,21,0,284,1,1401
826,9,9,284,0,0
827,7,7,284,0,0
828,16,0,300,2,0
829,16,0,300,3,0
830,19,0,13,3,0
831,21,0,501,2,2414
832,21,0,501,3,6107
833,22,0,285,2,5501
834,21,0,501,3,5507
835,23,0,501,1,3301
836,21,0,501,3,3301
837,16,0,79,3,0
838,22,0,371,2,2901
839,16,15,371,1,0
840,20,0,501,1,0
841,19,0,501,2,0
842,22,0,501,1,2406
843,22,0,501,1,3301
844,21,0,501,3,3301
845,16,0,357,1,0
846,16,0,357,3,0
847,20,0,364,3,0
848,16,0,364,3,0
849,21,0,272,1,6107
850,19,0,272,1,0
851,0,0,272,0,0
852,20,15,501,1,0
853,21,0,501,1,5503
854,0,0,501,0,0
855,20,0,385,1,0
856,18,0,210,1,0
857,16,0,339,1,0
858,14,14,0,3,0
859,9,9,0,0,0
860,16,0,111,2,0
861,12,0,442,1,0
862,22,0,471,1,6000
863,0,0,471,0,0
864,21,0,234,1,6205
865,21,0,416,1,2102
866,21,0,501,1,5200
867,22,0,501,1,2300
868,6,5,501,0,0
869,16,0,278,1,0
870,4,4,278,0,0
871,20,0,259,2,0
872,22,16,291,1,6005
873,15,0,6,1,0
874,21,0,362,1,3601
875,9,9,362,0,0
876,7,7,362,0,0
877,16,0,32,2,0
878,18,0,309,1,0
879,18,0,427,1,0
880,21,0,427,1,5404
881,1,0,427,0,0
882,16,0,360,1,0
883,21,0,360,1,2304
884,16,0,310,1,0
885,22,0,268,1,3301
886,16,14,268,1,0
887,14,13,268,3,0
888,10,9,268,0,0
889,16,0,268,3,0
890,16,0,295,3,0
891,17,0,501,3,0
892,15,0,501,3,0
893,16,0,180,1,0
894,15,0,125,1,0
895,20,0,249,1,0
896,19,0,249,1,0
897,16,0,249,1,0
898,4,4,249,0,0
899,1,0,216,2,0
900,17,0,216,1,0
901,12,0,216,3,0
902,20,0,344,1,0
903,21,0,209,1,6200
904,19,0,209,3,0
905,22,0,333,1,2304
906,16,0,501,1,0
907,16,0,501,1,0
908,16,0,241,1,0
909,17,0,241,1,0
910,19,0,501,1,0
911,24,0,501,1,5200
912,0,0,501,0,0
913,16,0,205,1,0
914,16,0,501,1,0
915,17,0,501,1,0
916,9,0,166,3,0
917,16,0,195,3,0
918,18,0,195,3,0
919,16,0,501,1,0
920,16,0,501,1,0
921,16,0,203,3,0
922,19,0,368,1,0
923,18,0,362,1,0
924,18,0,362,2,0
925,16,0,226,3,0
926,16,0,226,3,0
927,16,0,411,3,0
928,16,0,411,1,0
929,19,15,411,1,0
930,19,0,411,1,0
931,19,0,501,1,0
932,19,0,501,1,0
933,22,0,0,3,4101
934,21,0,0,2,2417
935,8,7,0,0,0
936,21,0,0,2,5200
937,17,0,414,1,0
938,21,0,414,1,6105
939,1,1,414,0,0
940,0,0,414,0,0
941,16,0,321,3,0
942,19,0,321,1,0
943,24,0,391,1,3603
944,21,0,83,1,1301
945,20,0,83,1,0
946,6,6,83,0,0
947,19,0,122,1,0
948,21,0,483,1,6000
949,19,0,483,2,0
950,1,1,483,0,0
951,21,0,212,1,6000
952,19,0,212,1,0
953,20,0,203,1,0
954,21,0,203,1,6000
955,16,0,308,3,0
956,18,0,308,3,0
957,21,0,501,1,5507
958,16,0,501,1,0
959,18,0,501,1,0
960,22,0,75,2,6002
961,16,0,193,2,0
962,16,0,110,3,0
963,16,0,110,1,0
964,16,0,53,1,0
965,14,14,89,2,0
966,16,0,89,3,0
967,21,16,317,1,5506
968,16,0,317,1,0
969,2,0,317,0,0
970,14,13,317,1,0
971,19,0,317,1,0
972,17,0,139,2,0
973,20,0,501,2,0
974,20,0,501,3,0
975,19,0,501,3,0
976,20,0,501,1,0
977,22,0,501,1,6299
978,12,12,501,0,0
979,11,0,501,3,0
980,16,0,501,3,0
981,21,0,501,1,5098
982,21,0,501,2,2901
983,15,0,501,3,0
984,14,14,501,1,0
985,19,0,497,1,0
986,20,0,497,1,0
987,22,0,497,3,5501
988,16,0,240,3,0
989,16,0,240,1,0
990,16,0,221,3,0
991,13,0,221,3,0
992,19,0,387,1,0
993,19,0,387,1,0
994,16,0,389,3,0
995,22,0,389,3,2300
996,16,0,210,3,0
997,21,0,210,3,3301
998,16,0,309,2,0
999,16,0,309,3,0
1000,22,0,218,3,2304
1001,21,0,218,1,2312
1002,18,0,230,1,0
1003,17,0,204,1,0
1004,16,0,204,3,0
1005,19,0,204,1,0
1006,19,0,427,1,0
1007,21,0,427,1,2102
1008,21,0,501,1,2502
1009,21,0,322,1,6001
1010,16,0,92,1,0
1011,16,0,468,1,0
1012,20,0,124,1,0
1013,21,0,326,1,6103
1014,20,15,326,1,0
1015,20,0,326,2,0
1016,7,6,326,0,0
1017,21,0,446,1,2300
1018,18,0,446,1,0
1019,21,0,82,3,2102
1020,21,0,461,1,6105
1021,15,0,461,1,0
1022,17,0,375,1,0
1023,22,0,289,1,3301
1024,20,0,315,1,0
1025,20,0,194,2,0
1026,19,0,194,3,0
1027,19,0,359,3,0
1028,21,0,359,3,3600
1029,17,0,141,3,0
1030,16,0,419,2,0
1031,20,0,419,2,0
1032,21,0,74,2,1901
1033,16,0,142,3,0
1034,17,0,143,3,0
1035,22,0,501,3,5506
1036,22,0,501,3,4801
1037,22,0,434,1,6108
1038,19,0,434,2,0
1039,20,0,418,2,0
1040,16,0,418,1,0
1041,19,0,339,1,0
1042,17,0,339,1,0
1043,15,0,339,3,0
1044,8,0,339,3,0
1045,11,11,339,0,0
1046,16,0,188,3,0
1047,19,0,188,3,0
1048,16,0,74,1,0
1049,14,0,74,1,0
1050,4,4,74,0,0
1051,2,2,74,0,0
1052,0,0,74,0,0
1053,18,0,196,1,0
1054,20,0,235,1,0
1055,24,0,501,3,5502
1056,19,0,213,1,0
1057,19,0,213,1,0
1058,16,0,177,1,0
1059,18,0,101,3,0
1060,19,0,157,1,0
1061,19,0,157,1,0
1062,14,14,157,1,0
1063,8,8,157,0,0
1064,16,0,157,1,0
1065,19,0,192,1,0
1066,16,0,456,1,0
1067,16,0,456,1,0
1068,20,0,159,3,0
1069,16,0,234,1,0
1070,22,0,359,1,6109
1071,21,0,359,1,6203
1072,0,0,359,0,0
1073,19,0,195,3,0
1074,16,0,207,1,0
1075,16,0,207,1,0
1076,1,0,207,0,0
1077,19,0,501,1,0
1078,20,0,501,1,0
1079,16,0,345,1,0
1080,19,0,345,1,0
1081,21,0,344,1,2106
1082,16,0,229,1,0
1083,1,0,229,0,0
1084,20,0,369,3,0
1085,16,0,369,3,0
1086,21,0,501,1,3603
1087,21,0,501,1,2304
1088,3,3,501,0,0
1089,16,0,130,1,0
1090,17,0,148,1,0
1091,19,0,501,1,0
1092,18,0,501,3,0
1093,18,0,312,1,0
1094,11,0,109,3,0
1095,21,0,501,1,6109
1096,24,0,501,1,5003
1097,11,10,501,0,0
1098,6,5,501,0,0
1099,19,0,373,1,0
1100,20,0,373,1,0
1101,19,15,373,1,0
1102,16,0,373,1,0
1103,21,0,490,1,6000
1104,20,0,490,1,0
1105,0,0,490,0,0
1106,21,0,304,1,3604
1107,22,0,304,1,2304
1108,20,0,501,1,0
1109,22,0,501,1,6000
1110,22,0,501,1,2405
1111,22,0,501,1,2405
1112,21,0,501,1,5506
1113,19,0,363,1,0
1114,20,0,363,1,0
1115,19,0,501,1,0
1116,16,0,410,1,0
1117,16,0,410,1,0
1118,0,0,410,0,0
1119,14,0,501,3,0
1120,18,0,501,1,0
1121,16,0,402,1,0
1122,18,0,82,3,0
1123,14,0,82,3,0
1124,21,0,448,1,6203
1125,18,0,448,1,0
1126,14,13,448,1,0
1127,11,10,448,0,0
1128,16,0,448,3,0
1129,18,0,40,3,0
1130,21,0,429,1,5507
1131,19,0,224,1,0
1132,18,0,105,1,0
1133,21,0,501,1,6200
1134,20,0,197,3,0
